candle_begin_time,open,high,low,close,volume
2017-01-01 09:00:00,965.41,965.41,965.4,965.4,2.1100000000000003
2017-01-01 09:05:00,965.44,965.44,965.44,965.44,0.02629498
2017-01-01 09:10:00,965.81,965.81,965.81,965.81,0.01983474
2017-01-01 09:20:00,965.81,965.81,965.81,965.81,3.59133246
2017-01-01 09:25:00,965.37,965.99,965.37,965.99,1.16293811
2017-01-01 09:30:00,966.0,966.12,966.0,966.12,1.3724001399999999
2017-01-01 09:35:00,966.2,966.2,966.2,966.2,0.02
2017-01-01 09:40:00,966.19,966.57,966.19,966.57,8.49992359
2017-01-01 09:45:00,966.49,966.49,965.9,966.0,14.280819930000002
2017-01-01 09:55:00,965.9,965.98,965.89,965.98,1.20495865
2017-01-01 10:00:00,965.99,966.7,965.99,966.7,6.158219249999999
2017-01-01 10:05:00,966.4,970.0,966.4,970.0,213.5578727499999
2017-01-01 10:10:00,970.0,971.69,969.43,969.75,83.64287242
2017-01-01 10:15:00,971.32,973.78,970.04,973.78,143.04444374000002
2017-01-01 10:20:00,973.78,973.79,969.45,970.88,38.722779519999996
2017-01-01 10:25:00,970.81,972.77,969.25,972.1,35.05213355000002
2017-01-01 10:30:00,972.03,972.74,969.35,970.12,21.438070549999992
2017-01-01 10:35:00,969.64,973.01,969.64,973.01,51.44880539999998
2017-01-01 10:40:00,973.01,976.0,971.38,973.62,171.23766883000002
2017-01-01 10:45:00,975.31,976.0,973.81,974.0,98.97787528999997
2017-01-01 10:50:00,974.0,976.5,974.0,976.49,131.14036916000003
2017-01-01 10:55:00,976.49,978.02,976.49,977.01,67.41366771000001
2017-01-01 11:00:00,977.71,978.02,976.09,977.21,58.21072349999999
2017-01-01 11:05:00,977.22,977.82,975.05,975.68,69.11462234999999
2017-01-01 11:10:00,976.0,976.68,975.62,975.62,11.614474629999997
2017-01-01 11:15:00,975.62,977.59,975.62,977.27,45.07583988000001
2017-01-01 11:20:00,977.26,978.0,976.8,976.81,75.55975234000002
2017-01-01 11:25:00,976.8,977.99,975.91,977.96,59.2369347
2017-01-01 11:30:00,977.98,978.0,976.05,978.0,181.0338070299999
2017-01-01 11:35:00,978.0,978.89,976.52,977.13,61.497404
2017-01-01 11:40:00,977.7,977.81,977.04,977.14,20.71340446
2017-01-01 11:45:00,977.27,978.11,977.16,977.65,46.88176823
2017-01-01 11:50:00,977.65,978.51,977.65,978.51,41.500657950000004
2017-01-01 11:55:00,978.52,978.89,977.12,978.16,41.88224722
2017-01-01 12:00:00,977.11,978.59,975.98,976.92,12.400995309999999
2017-01-01 12:05:00,977.66,977.66,976.02,976.02,15.08808335
2017-01-01 12:10:00,976.02,977.85,976.0,976.48,11.31322387
2017-01-01 12:15:00,976.01,978.14,976.0,976.18,17.160628999999997
2017-01-01 12:20:00,976.31,977.05,974.97,976.25,29.32877038000001
2017-01-01 12:25:00,976.19,977.23,974.99,975.0,16.10538146
2017-01-01 12:30:00,974.98,977.17,974.98,975.11,16.44253784
2017-01-01 12:35:00,975.11,977.14,975.1,975.45,24.097103869999998
2017-01-01 12:40:00,976.1,976.12,970.85,973.42,69.41730136999998
2017-01-01 12:45:00,972.39,974.19,971.29,971.94,37.20670001
2017-01-01 12:50:00,973.74,973.94,972.0,973.66,31.486296650000003
2017-01-01 12:55:00,973.56,973.65,973.1,973.32,12.48371655
2017-01-01 13:00:00,973.98,975.11,973.98,975.0,14.65038853
2017-01-01 13:05:00,975.25,975.25,974.3,974.5,8.430736049999998
2017-01-01 13:15:00,974.89,974.89,974.89,974.89,0.05621668
2017-01-01 13:25:00,974.8,974.8,974.8,974.8,7.928922000000001
2017-01-01 13:30:00,974.8,974.86,974.8,974.86,0.21793556
2017-01-01 13:35:00,973.75,976.71,973.75,976.71,12.10404723
2017-01-01 13:40:00,976.72,976.72,975.49,975.49,16.18487306
2017-01-01 13:45:00,977.12,978.51,975.5,976.54,20.74005098
2017-01-01 13:50:00,978.08,978.08,976.53,976.77,1.85372799
2017-01-01 13:55:00,976.9,976.9,976.89,976.89,0.19999999999999998
2017-01-01 14:00:00,976.58,978.0,976.58,976.78,9.084
2017-01-01 14:05:00,976.51,977.86,976.51,976.73,0.14500205
2017-01-01 14:10:00,976.92,976.92,976.54,976.54,12.365455019999999
2017-01-01 14:20:00,976.55,976.55,976.55,976.55,0.04078095
2017-01-01 14:25:00,976.55,976.55,976.5,976.5,13.028333159999999
2017-01-01 14:30:00,976.51,976.51,976.0,976.06,19.410235960000005
2017-01-01 14:35:00,976.06,976.06,976.0,976.06,0.8667213800000001
2017-01-01 14:40:00,976.0,976.06,976.0,976.0,4.293946440000001
2017-01-01 14:45:00,976.0,977.03,976.0,976.55,5.552726110000001
2017-01-01 14:50:00,977.0,977.27,977.0,977.27,0.7222491600000001
2017-01-01 14:55:00,977.37,978.49,977.37,978.45,50.32112956
2017-01-01 15:00:00,979.0,979.78,978.5,978.99,51.65724631000001
2017-01-01 15:05:00,978.99,979.78,978.99,979.04,22.315636409999996
2017-01-01 15:10:00,978.99,979.0,976.46,978.0,37.68892955
2017-01-01 15:15:00,978.16,979.79,978.0,979.52,123.62237289000007
2017-01-01 15:20:00,978.01,979.78,978.01,978.51,15.57246855
2017-01-01 15:25:00,979.0,979.38,977.08,978.0,12.838229149999998
2017-01-01 15:30:00,978.0,979.7,978.0,979.7,11.44306177
2017-01-01 15:35:00,979.31,979.89,979.21,979.89,22.556853489999995
2017-01-01 15:40:00,979.89,979.89,979.8,979.88,11.353869929999998
2017-01-01 15:45:00,979.9,980.0,979.81,979.81,23.922251550000006
2017-01-01 15:50:00,979.81,980.0,979.81,979.99,18.070612830000005
2017-01-01 15:55:00,980.0,982.0,980.0,981.96,108.62994738
2017-01-01 16:00:00,981.97,989.9,981.97,986.43,666.3892343800006
2017-01-01 16:05:00,986.47,988.89,984.55,985.87,93.15820891
2017-01-01 16:10:00,985.29,986.0,982.87,983.0,110.85879959
2017-01-01 16:15:00,983.0,984.6,976.24,982.91,524.4053879499999
2017-01-01 16:20:00,983.62,984.21,982.21,984.12,67.05094066000001
2017-01-01 16:25:00,983.64,987.38,983.01,987.17,202.3345361699999
2017-01-01 16:30:00,987.08,989.9,986.14,986.57,221.9011223
2017-01-01 16:35:00,986.5,994.0,986.18,994.0,835.7888372500004
2017-01-01 16:40:00,994.0,999.0,991.68,998.93,1559.1577830399979
2017-01-01 16:45:00,998.2,998.2,995.64,996.02,73.71189670999996
2017-01-01 16:50:00,995.99,996.0,992.5,992.8,229.54576635999985
2017-01-01 16:55:00,993.0,996.43,990.12,996.29,172.74283505
2017-01-01 17:00:00,996.23,996.23,993.9,993.9,67.149293
2017-01-01 17:05:00,993.9,995.67,993.37,993.37,32.090193830000004
2017-01-01 17:10:00,994.2,997.04,994.2,997.0,45.63392114
2017-01-01 17:15:00,997.0,997.01,994.41,995.39,56.91633201999999
2017-01-01 17:20:00,996.0,999.0,994.64,997.01,261.61430236000007
2017-01-01 17:25:00,998.77,998.78,992.9,995.86,134.16772567999996
2017-01-01 17:30:00,995.8,997.49,995.7,996.0,33.57009668
2017-01-01 17:35:00,996.54,997.2,993.41,994.58,75.5017086
2017-01-01 17:40:00,995.75,996.83,994.87,996.6,29.76343159
