Date,Time,Open,High,Low,Close,TotalVolume
2017/7/27,5:00:00,2567.8,2569.5,2549.7,2568.9,401.4237149
2017/7/27,6:00:00,2568.9,2570.9,2553.754472,2559.7,463.7980006
2017/7/27,7:00:00,2559.5,2560.4,2530,2536.9,1062.741718
2017/7/27,8:00:00,2535.3,2554.1,2525,2552.8,454.9955816
2017/7/27,9:00:00,2549.5,2570.5,2545.762443,2570.5,374.9132825
2017/7/27,10:00:00,2570.4,2594,2567.2,2587,1086.679246
2017/7/27,11:00:00,2587.1,2587.4,2569.2,2576.1,483.4618035
2017/7/27,12:00:00,2576.1,2586.7,2557.9,2565.8,678.4223361
2017/7/27,13:00:00,2565.9,2585,2558.8,2574.9,942.9081466
2017/7/27,14:00:00,2574.6,2575,2533.8,2540,1671.421205
2017/7/27,15:00:00,2540,2557.9,2525.6,2533,2349.076759
2017/7/27,16:00:00,2533,2562,2525,2561.6,978.7487448
2017/7/27,17:00:00,2562,2582.1,2550.5,2581.653897,878.3573239
2017/7/27,18:00:00,2581.6,2583.05513,2559.5,2564,1062.385302
2017/7/27,19:00:00,2563.9,2574.9,2551.8,2566.2,602.01924
2017/7/27,20:00:00,2566.2,2590.1,2541.8,2587.4,2575.376358
2017/7/27,21:00:00,2587.4,2667,2587.2,2650.6,6892.93036
2017/7/27,22:00:00,2650.6,2679.7,2634.6,2679.7,2728.26589
2017/7/27,23:00:00,2679.6,2682.2,2651,2664.6,1594.095817
2017/7/28,0:00:00,2664.6,2730,2664.5,2711.4,3004.643986
2017/7/28,1:00:00,2712.5,2716,2686,2705,2105.863929
2017/7/28,2:00:00,2705,2705.1,2674.9,2680.9,1057.528969
2017/7/28,3:00:00,2680.9,2687,2663,2679,848.4036388
2017/7/28,4:00:00,2675,2679.1,2655.5,2659.1,1328.318747
2017/7/28,5:00:00,2659.1,2685,2659,2684.9,1136.451764
2017/7/28,6:00:00,2685,2694,2680.8,2684.5,982.9775841
2017/7/28,7:00:00,2684.5,2730,2682.8,2730,1793.308012
2017/7/28,8:00:00,2730,2771,2720.1,2758,2449.90169
2017/7/28,9:00:00,2757.9,2770,2730.8,2765.6,2511.384737
2017/7/28,10:00:00,2765.6,2768,2722.2,2754.8,1393.939798
2017/7/28,11:00:00,2754.5,2820,2750,2814.9,3584.108547
2017/7/28,12:00:00,2814.7,2815,2771.1,2783.2,2233.546599
2017/7/28,13:00:00,2783.2,2808,2746.8,2760.1,2041.880664
2017/7/28,14:00:00,2760.3,2787,2760,2774.1,1916.280051
2017/7/28,15:00:00,2774.1,2774.2,2710.1,2741.1,3161.635416
2017/7/28,16:00:00,2741.2,2777.9,2730.1,2757,1821.485012
2017/7/28,17:00:00,2759.1,2776.3,2740.2,2768.1,1082.697763
2017/7/28,18:00:00,2768,2769.9,2750.1,2769.3,577.941208
2017/7/28,19:00:00,2766.9,2771.4,2731.1,2751,1058.636095
2017/7/28,20:00:00,2751.1,2758.2,2723.3,2755.1,1226.168907
2017/7/28,21:00:00,2755.6,2779.9,2746.2,2779.9,561.1314981
2017/7/28,22:00:00,2779.8,2809,2772.2,2787.6,1936.930658
2017/7/28,23:00:00,2787.6,2800,2771,2784.8,720.0026623
2017/7/29,0:00:00,2784.9,2794.2,2763,2778.2,604.9503325
2017/7/29,1:00:00,2778.9,2781,2747.9,2750.1,728.2919945
2017/7/29,2:00:00,2751.9,2752.2,2720,2729.9,1124.040342
2017/7/29,3:00:00,2729.9,2755.3,2701,2714.5,1153.876639
2017/7/29,4:00:00,2713,2722.4,2680.8,2709.8,2315.263851
2017/7/29,5:00:00,2709.9,2740.3,2709.8,2735,997.549927
2017/7/29,6:00:00,2735,2768.3,2721,2748.1,1985.221456
2017/7/29,7:00:00,2748,2751.4,2722.5,2734.5,696.4242956
2017/7/29,8:00:00,2734.6,2750,2727.1,2749,765.5631724
2017/7/29,9:00:00,2749,2758.5,2725.1,2725.1,1205.464648
2017/7/29,10:00:00,2725.2,2739,2682.2,2704,1543.091911
2017/7/29,11:00:00,2700.1,2707.8,2663.3,2681.8,1812.074969
2017/7/29,12:00:00,2681.8,2699.9,2671.6,2687.4,784.656476
2017/7/29,13:00:00,2687.6,2696.9,2662,2676.7,777.5360084
2017/7/29,14:00:00,2679.3,2686,2670.9,2680.6,485.0626104
2017/7/29,15:00:00,2680.7,2722,2680.7,2703.9,950.3184167
2017/7/29,16:00:00,2703.9,2711.7,2686.5,2689.7,396.6203106
2017/7/29,17:00:00,2690.1,2729.9,2690,2715.9,762.8417079
2017/7/29,18:00:00,2719.1,2749.9,2714.1,2749.9,965.3241472
2017/7/29,19:00:00,2748.9,2758.5,2716.2,2738.7,1143.980622
2017/7/29,20:00:00,2738.6,2738.7,2700.1,2733.5,684.8557061
2017/7/29,21:00:00,2731,2733,2705.5,2714,314.0999263
2017/7/29,22:00:00,2713.4,2714,2683,2698.6,1044.939021
2017/7/29,23:00:00,2699,2734.9,2698.8,2713.1,1027.745288
2017/7/30,0:00:00,2713.7,2734.9,2697,2700.5,1080.666611
